run_accession	fastq_ftp
SRR6468518	ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/008/SRR6468518/SRR6468518.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/008/SRR6468518/SRR6468518_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/008/SRR6468518/SRR6468518_2.fastq.gz
SRR6468523	ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/003/SRR6468523/SRR6468523.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/003/SRR6468523/SRR6468523_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/003/SRR6468523/SRR6468523_2.fastq.gz
SRR6468525	ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/005/SRR6468525/SRR6468525.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/005/SRR6468525/SRR6468525_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/005/SRR6468525/SRR6468525_2.fastq.gz
SRR6468526	ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/006/SRR6468526/SRR6468526.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/006/SRR6468526/SRR6468526_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/006/SRR6468526/SRR6468526_2.fastq.gz
SRR6468531	ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/001/SRR6468531/SRR6468531.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/001/SRR6468531/SRR6468531_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/001/SRR6468531/SRR6468531_2.fastq.gz
SRR6468534	ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/004/SRR6468534/SRR6468534.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/004/SRR6468534/SRR6468534_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/004/SRR6468534/SRR6468534_2.fastq.gz
SRR6468535	ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/005/SRR6468535/SRR6468535_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/005/SRR6468535/SRR6468535_2.fastq.gz
SRR6468538	ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/008/SRR6468538/SRR6468538_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/008/SRR6468538/SRR6468538_2.fastq.gz
SRR6468541	ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/001/SRR6468541/SRR6468541.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/001/SRR6468541/SRR6468541_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/001/SRR6468541/SRR6468541_2.fastq.gz
SRR6468542	ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/002/SRR6468542/SRR6468542.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/002/SRR6468542/SRR6468542_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/002/SRR6468542/SRR6468542_2.fastq.gz
